Date,Type of Aircraft,Operator,Place,Fatality,Detail link,References
2013 June 1,Dornier DO228,Sita Air,"Simikot, Karnali",0,,[1]
2013 May 27,Cessna 208B Grand Caravan,Goma Air,"Simikot, Karnali",0,,[1]
2013 May 16,De Havilland DHC-6 Twin Otter,Nepal Airlines,"Jomsom, Dhawalagiri",0,2013 Nepal Airlines Flight 555,[1]
2014 February 16,De Havilland DHC-6 Twin Otter,Nepal Airlines,"Arghakhanchi, Lumbini",18,2014 Nepal Airlines Flight 183,[1]
2016 September 24,Bae Jetstream 41,Yeti Airlines,"Siddharthanagar, Lumbini",0,,[1]
2016 February 26,PAC 750XL -Pacific Aerospace Corporation,Air Kashtamandap,"Chilkhaya, Karnali",2,2016 Air Kasthamandap PAC 750XL crash,[1]
2016 February 24,De Havilland DHC-6 Twin Otter,Tara Air,"Dana, Dhawaagiri",23,2016 Tara Air Flight 193,[1]
2017 May 27,Let L-410 Turbolet,Summit Air,Lukla,2,Summit Air Flight 409,[3]
2022 May 29,de Havilland Canada DHC-6-300 Twin Otter,Tara Air,Myagdi,22,Tara Air Flight 197,[4]
2023 January 15,ATR 72,Yeti Air,Pokhara,72,Yeti Airlines Flight 691,[5]
2024 July 24,Bombardier CRJ-200,Saurya Airlines,Kathmandu,18,2024 Saurya Airlines Bombardier CRJ200 crash,[6]
